Geneid,NCAPD3 Knockdown1,NCAPD3 Knockdown2,NCAPD3 Knockdown3,Wild.Type1,Wild Type2,Wild Type3
ENSG00000172780,96,162,109,112,112,112
ENSG00000261796,0,0,0,0,0,0
ENSG00000273174,0,5,3,6,6,2
ENSG00000240682,269,300,265,244,244,198
ENSG00000273437,1,0,0,0,0,0
ENSG00000230530,15,5,6,4,4,10
ENSG00000279017,0,0,0,0,0,0
ENSG00000285788,0,0,0,0,0,0
ENSG00000236930,0,0,0,0,0,0
ENSG00000172215,2,17,2,4,4,6
ENSG00000226933,0,0,0,0,0,0
ENSG00000251727,0,0,0,0,0,0
ENSG00000184500,728,648,619,519,519,418
ENSG00000201339,0,0,0,0,0,0
ENSG00000200366,0,0,0,0,0,0
ENSG00000239614,0,0,0,0,0,0
ENSG00000178750,0,0,0,0,0,0
ENSG00000178700,226,228,226,266,266,221
ENSG00000178694,145,166,196,156,156,132
ENSG00000242457,6,1,3,7,7,0
ENSG00000169379,1815,1762,1808,1777,1777,1492
ENSG00000235787,0,0,0,0,0,0
ENSG00000114812,83,118,74,51,51,27
ENSG00000232354,7,23,12,10,10,4
ENSG00000093183,833,1106,945,776,776,656
ENSG00000008324,191,234,210,155,155,167
ENSG00000287629,4,6,6,2,2,8
ENSG00000240203,0,0,0,0,0,0
ENSG00000157119,0,0,0,0,0,0
ENSG00000010282,0,0,0,0,0,0
ENSG00000285539,0,0,0,0,0,0
ENSG00000230970,0,0,0,0,0,0
ENSG00000244607,0,1,0,1,1,1
ENSG00000280571,0,0,0,0,0,0
ENSG00000287417,1,0,0,0,0,0
ENSG00000173811,0,0,4,4,4,0
ENSG00000181061,105,124,120,139,139,100
ENSG00000235288,0,0,0,0,0,0
ENSG00000144648,0,1,6,2,2,2
ENSG00000180432,0,0,2,0,0,0
ENSG00000236459,0,2,0,0,0,0
ENSG00000114853,1232,1303,1051,976,976,998
ENSG00000173389,0,0,0,0,0,0
ENSG00000224792,0,0,0,0,0,0
ENSG00000184345,0,0,0,0,0,0
ENSG00000241789,0,0,0,0,0,0
ENSG00000235455,0,0,0,0,0,0
ENSG00000214681,0,0,0,0,0,0
ENSG00000041880,806,907,962,799,799,687
ENSG00000216135,0,0,0,0,0,0
ENSG00000283036,0,0,0,0,0,0
ENSG00000214825,0,0,0,0,0,0
ENSG00000277509,0,0,0,0,0,0
ENSG00000196345,0,4,1,0,0,1
ENSG00000144792,2,0,4,4,4,2
ENSG00000186448,4,666,747,732,732,577
ENSG00000233509,0,3,1,5,5,0
ENSG00000169981,2,232,234,228,228,190
ENSG00000272077,0,56,60,48,48,31
ENSG00000235805,0,0,0,0,0,0
ENSG00000185313,0,0,0,0,0,2
ENSG00000131375,1052,1173,1033,932,932,913
ENSG00000224660,182,282,170,147,147,145
ENSG00000131370,2836,2983,2455,2325,2325,2296
ENSG00000201162,0,0,0,0,0,0
ENSG00000226427,0,5,0,2,2,0
ENSG00000206562,354,392,380,324,324,311
ENSG00000144597,307,283,273,287,287,290
ENSG00000206926,0,0,0,0,0,0
ENSG00000249786,2,2,0,0,0,0
ENSG00000206561,4,25,2,4,4,2
ENSG00000263573,0,0,0,0,0,0
ENSG00000241064,0,0,0,0,0,0
ENSG00000131373,257,292,309,209,209,233
ENSG00000264354,0,0,0,0,0,0
ENSG00000263740,4,10,6,12,12,6
ENSG00000012171,5748,5302,4812,5341,5341,5238
ENSG00000283848,0,0,0,0,0,0
ENSG00000179564,10,9,5,17,17,9
ENSG00000186792,131,97,79,97,97,66
ENSG00000243477,437,412,376,373,373,452
ENSG00000237653,0,0,0,0,0,0
ENSG00000232353,0,0,0,0,0,0
ENSG00000287178,0,0,0,0,0,0
ENSG00000222583,0,0,0,0,0,0
ENSG00000231383,0,1,0,0,0,0
ENSG00000230126,0,0,0,0,0,0
ENSG00000226709,0,0,0,0,0,0
ENSG00000238902,0,0,0,0,0,0
ENSG00000200184,0,0,0,0,0,0
ENSG00000090520,1925,2100,1693,1860,1860,1742
ENSG00000154743,1115,1055,937,973,973,926
ENSG00000288679,0,0,0,0,0,0
ENSG00000164050,2103,1964,2033,1888,1888,1650
ENSG00000164051,3386,3700,4068,2911,2911,2798
ENSG00000232112,18,8,17,12,12,6
ENSG00000244380,1,2,0,0,0,0
ENSG00000213689,0,0,0,0,0,0
ENSG00000114268,120,108,126,175,175,200
ENSG00000278799,0,0,0,0,0,0
ENSG00000145040,38,40,44,32,32,28
ENSG00000284251,0,0,0,0,0,0
ENSG00000010256,10490,10160,9431,8695,8695,8752
ENSG00000183396,1,3,1,1,1,4
ENSG00000225697,1234,1260,1130,1419,1419,1224
ENSG00000284364,0,0,0,0,0,0
ENSG00000008300,800,747,757,615,615,615
ENSG00000284575,0,0,0,1,1,0
ENSG00000213672,914,810,708,688,688,647
ENSG00000228350,12,19,20,15,15,17
ENSG00000271973,13,6,3,4,4,2
ENSG00000068745,4055,4744,4690,3977,3977,3721
ENSG00000114270,48413,41914,37271,36594,36594,38182
ENSG00000075975,508,611,509,506,506,503
ENSG00000172667,65,79,77,50,50,73
ENSG00000200616,0,0,0,0,0,0
ENSG00000229102,0,0,0,0,0,0
ENSG00000121879,281,375,228,276,276,180
ENSG00000241553,97,101,84,91,91,69
ENSG00000163964,244,253,247,171,171,203
ENSG00000197763,293,265,279,261,261,199
ENSG00000179097,0,0,0,0,0,0
ENSG00000114779,377,481,473,358,358,373
ENSG00000239732,0,0,0,0,0,0
ENSG00000163918,2591,2720,2485,2133,2133,1792
ENSG00000180044,0,2,2,0,0,0
ENSG00000232382,0,0,0,0,0,0
ENSG00000144681,183,172,189,126,126,139
ENSG00000198398,0,0,0,0,0,0
ENSG00000231213,0,0,0,0,0,0
ENSG00000144852,3,4,6,2,2,0
ENSG00000113889,0,0,2,0,0,0
ENSG00000234325,0,0,0,0,0,0
ENSG00000235947,0,7,5,2,2,2
ENSG00000275981,0,0,0,0,0,0
ENSG00000010319,105,142,161,76,76,85
ENSG00000114854,7502,8544,11560,6228,6228,4794
ENSG00000010322,2209,2385,2088,2156,2156,2174
ENSG00000114841,334,608,292,217,217,274
ENSG00000076201,2130,1947,1937,1786,1786,1679
ENSG00000276925,4,4,0,0,0,0
ENSG00000163832,1084,1127,1057,890,890,797
ENSG00000271161,14,4,8,2,2,1
ENSG00000244732,0,0,0,0,0,0
ENSG00000114646,177,174,128,89,89,89
ENSG00000214773,0,0,0,0,0,3
ENSG00000235695,0,0,0,0,0,0
ENSG00000239716,0,0,0,0,0,0
ENSG00000241723,0,2,0,0,0,0
ENSG00000277143,0,0,0,0,0,0
ENSG00000243314,0,0,0,0,0,0
ENSG00000243150,0,0,0,0,0,0
ENSG00000243025,0,0,0,0,0,0
ENSG00000243165,0,0,0,0,0,0
ENSG00000174891,3758,4449,4115,3798,3798,3316
ENSG00000113971,94,89,78,86,86,70
ENSG00000132153,2793,3043,2722,2468,2468,2448
ENSG00000274420,2,0,0,0,0,1
ENSG00000221585,0,0,0,0,0,0
ENSG00000199591,0,0,0,0,0,0
ENSG00000224895,0,1,2,2,2,0
ENSG00000270285,0,0,0,0,0,0
ENSG00000265078,1,0,0,0,0,2
ENSG00000236768,0,0,4,0,0,2
ENSG00000164045,928,962,928,824,824,718
ENSG00000235627,0,0,0,0,0,0
ENSG00000253056,0,0,0,0,0,0
ENSG00000231884,4,4,3,3,3,0
ENSG00000265483,0,0,0,0,0,0
ENSG00000164047,0,0,0,0,0,0
ENSG00000164048,1083,1187,1328,1294,1294,1097
ENSG00000229759,4,0,0,1,1,0
ENSG00000199476,0,3,2,1,1,2
ENSG00000172113,732,776,751,720,720,668
ENSG00000228638,0,0,0,0,0,0
ENSG00000252466,0,0,0,0,0,0
ENSG00000164049,17,6,10,16,16,13
ENSG00000277483,0,0,0,0,0,0
ENSG00000164053,461,455,382,333,333,350
ENSG00000280053,0,0,0,0,0,2
ENSG00000114554,2953,2808,2462,2693,2693,2597
ENSG00000242390,0,0,0,0,0,0
ENSG00000252745,0,0,0,0,0,0
ENSG00000120756,385,342,278,325,325,253
ENSG00000239641,0,0,0,0,0,0
ENSG00000199319,0,0,0,2,2,0
ENSG00000251787,0,0,0,0,0,0
ENSG00000163710,32,58,43,18,18,16
ENSG00000240950,8,10,8,6,6,5
ENSG00000188582,3,0,0,0,0,0
ENSG00000241592,0,0,0,0,0,0
ENSG00000272477,0,0,0,0,0,0
ENSG00000236570,2,0,2,0,0,0
ENSG00000251761,0,0,0,0,0,0
ENSG00000081307,2575,2812,2696,2472,2472,2316
ENSG00000232535,0,0,0,0,0,0
ENSG00000163719,1224,1301,1182,1065,1065,1090
ENSG00000287878,13,20,10,9,9,20
ENSG00000249225,0,0,0,0,0,0
ENSG00000248365,0,0,0,0,0,0
ENSG00000231192,0,0,0,0,0,0
ENSG00000236032,0,0,0,0,0,0
ENSG00000249321,0,0,0,0,0,0
ENSG00000249975,0,0,0,0,0,0
ENSG00000248507,0,0,0,0,0,0
ENSG00000187900,0,0,0,0,0,0
ENSG00000230301,0,0,0,0,0,0
ENSG00000156983,2416,2408,2127,1786,1786,1916
ENSG00000011376,1138,967,967,1112,1112,1029
ENSG00000232455,2,2,0,0,0,0
ENSG00000144791,1477,1354,1131,1164,1164,1092
ENSG00000229515,0,0,0,0,0,0
ENSG00000163823,0,6,0,0,0,0
ENSG00000236736,0,0,0,0,0,0
ENSG00000121807,0,0,0,0,0,0
ENSG00000121797,2,6,5,4,4,2
ENSG00000283646,0,0,0,0,0,0
ENSG00000283473,0,0,0,0,0,0
ENSG00000288717,2,0,0,0,0,2
ENSG00000288703,0,0,0,0,0,0
ENSG00000183625,4,2,0,0,0,0
ENSG00000288724,0,0,0,0,0,0
ENSG00000012223,0,0,0,4,4,0
ENSG00000163825,0,0,0,0,0,0
ENSG00000163827,0,2,0,1,1,0
ENSG00000288718,2,0,2,0,0,0
ENSG00000163703,271,233,326,353,353,323
ENSG00000132170,574,524,519,501,501,431
ENSG00000286531,4,1,1,2,2,2
ENSG00000272886,685,667,576,577,577,624
ENSG00000274967,0,0,3,2,2,0
ENSG00000207109,0,0,0,0,0,0
ENSG00000212608,0,0,0,0,0,0
ENSG00000227224,0,0,0,0,0,0
ENSG00000251987,0,0,0,2,2,0
ENSG00000271916,3,0,1,0,0,0
ENSG00000016391,455,398,396,334,334,329
ENSG00000056736,332,328,250,239,239,214
ENSG00000271976,62,68,37,42,42,50
ENSG00000113812,902,888,991,959,959,904
ENSG00000144554,904,940,869,671,671,772
ENSG00000276656,0,0,0,0,0,0
ENSG00000252751,0,0,0,0,0,0
ENSG00000260391,0,0,0,0,0,0
ENSG00000114491,1508,1516,1518,1460,1460,1372
ENSG00000265981,2,0,1,0,0,0
ENSG00000242199,0,0,2,0,0,2
ENSG00000082781,3833,3673,3286,3239,3239,3212
ENSG00000244286,2,0,0,6,6,0
ENSG00000280042,0,0,0,0,0,2
ENSG00000276626,0,0,0,0,0,0
ENSG00000243986,0,0,0,0,0,0
ENSG00000173702,14863,14289,11530,11340,11340,10536
ENSG00000288713,0,0,0,0,0,0
ENSG00000270772,0,0,0,2,2,0
ENSG00000213509,6,2,2,6,6,4
ENSG00000136068,17352,16237,13099,11836,11836,13282
ENSG00000160145,13,32,10,8,8,9
ENSG00000240902,0,0,0,0,0,0
ENSG00000064835,0,0,2,0,0,0
ENSG00000284624,0,25,18,22,22,35
ENSG00000284660,0,0,0,0,0,0
ENSG00000272840,0,0,0,0,0,0
ENSG00000239804,0,0,0,0,0,0
ENSG00000221737,0,0,0,0,0,0
ENSG00000242229,0,0,0,0,0,0
ENSG00000287617,0,4,0,0,0,0
ENSG00000241346,0,2,0,0,0,0
ENSG00000241288,87,113,83,123,123,88
ENSG00000241278,10,4,2,2,2,4
ENSG00000248787,7,11,10,11,11,2
ENSG00000241439,0,0,0,0,0,0
ENSG00000114547,2,6,0,12,12,2
ENSG00000248607,301,306,256,255,255,197
ENSG00000242103,0,0,0,0,0,0
ENSG00000287022,13,22,4,9,9,8
ENSG00000051341,1233,1292,979,939,939,887
ENSG00000242445,18,23,37,38,38,13
ENSG00000186103,0,0,0,0,0,0
ENSG00000163833,0,0,0,0,0,0
ENSG00000235830,0,2,0,0,0,0
ENSG00000254485,2,0,0,3,3,0
ENSG00000214041,0,0,0,0,0,0
ENSG00000134077,1153,1202,1092,1146,1146,953
ENSG00000156959,2,3,4,10,10,12
ENSG00000235338,0,2,5,0,0,0
ENSG00000068028,1018,1087,1049,970,970,948
ENSG00000053524,56,64,53,20,20,48
ENSG00000214706,1402,1383,1216,1370,1370,1347
ENSG00000152601,1004,1480,996,817,817,771
ENSG00000163515,0,0,0,0,0,0
ENSG00000231861,0,0,0,0,0,0
ENSG00000144671,4,2,2,3,3,4
ENSG00000170044,0,0,0,0,0,0
ENSG00000225526,6,7,17,14,14,10
ENSG00000171148,1966,1926,2063,1950,1950,1767
ENSG00000144644,0,0,0,0,0,0
ENSG00000172969,0,0,1,0,0,0
ENSG00000150995,6612,5594,3968,3714,3714,3527
ENSG00000154928,0,0,0,0,0,0
ENSG00000114654,0,0,0,0,0,0
ENSG00000172995,0,2,0,0,0,0
ENSG00000144857,6,11,2,7,7,2
ENSG00000177311,2746,2823,2600,2312,2312,2157
ENSG00000163946,5436,5611,4508,4737,4737,4198
ENSG00000114124,21,10,12,21,21,14
ENSG00000131389,5623,5902,4666,4585,4585,4663
ENSG00000188729,0,0,0,0,0,0
ENSG00000206560,956,1078,979,841,841,801
ENSG00000163539,956,1027,930,723,723,738
ENSG00000168386,4,4,0,4,4,5
ENSG00000181789,16608,17412,15963,13922,13922,14967
ENSG00000278658,1,0,1,1,1,0
ENSG00000286729,11,12,12,12,12,6
ENSG00000183624,2334,2295,2351,2050,2050,1832
ENSG00000206417,81,90,132,106,106,117
ENSG00000248916,1,0,2,3,3,2
ENSG00000270492,0,0,0,2,2,0
ENSG00000270773,1,0,0,0,0,0
ENSG00000244932,44,24,33,38,38,39
ENSG00000207088,11,8,6,7,7,4
ENSG00000129071,2112,2190,2088,2217,2217,1912
ENSG00000163914,2,0,4,2,2,0
ENSG00000178804,2,2,2,0,0,2
ENSG00000004399,7993,7407,6300,5891,5891,6100
ENSG00000239437,0,0,0,0,0,0
ENSG00000248659,0,0,0,0,0,0
ENSG00000182923,148,164,176,155,155,122
ENSG00000088727,161,193,221,206,206,174
ENSG00000199994,10,0,8,6,6,2
ENSG00000174946,0,20,0,0,0,2
ENSG00000174944,2,2,0,2,2,0
ENSG00000239570,0,0,0,0,0,0
ENSG00000286273,0,0,0,0,0,0
ENSG00000138271,0,0,0,0,0,0
ENSG00000181631,0,0,0,0,0,0
ENSG00000169313,2,0,0,0,0,0
ENSG00000242810,0,0,0,0,0,0
ENSG00000242119,0,0,0,0,0,0
ENSG00000264330,0,0,0,0,0,0
ENSG00000152580,448,409,281,268,268,297
ENSG00000160799,8176,10481,9986,8638,8638,7195
ENSG00000173769,0,0,0,0,0,0
ENSG00000271937,0,0,0,0,0,0
ENSG00000179152,416,310,387,349,349,319
ENSG00000225873,0,0,0,0,0,0
ENSG00000265470,0,0,0,0,0,0
ENSG00000136527,7183,8853,7882,6616,6616,6017
ENSG00000244203,1,0,0,0,0,0
ENSG00000221264,0,0,0,0,0,0
ENSG00000274387,0,0,0,0,0,0
ENSG00000242094,0,0,0,0,0,0
ENSG00000277855,2,0,0,0,0,0
ENSG00000270562,0,0,0,0,0,0
ENSG00000272087,0,0,0,0,0,0
ENSG00000118849,42,17,17,11,11,11
ENSG00000118855,274,313,346,276,276,288
ENSG00000240207,117,123,132,136,136,101
ENSG00000243675,0,0,0,2,2,0
ENSG00000271778,5,0,0,6,6,2
ENSG00000272247,2,1,2,0,0,0
ENSG00000232374,0,0,0,2,2,0
ENSG00000279311,2,0,0,0,0,0
ENSG00000214216,0,0,0,0,0,0
ENSG00000263634,0,0,0,0,0,0
ENSG00000244249,0,0,0,0,0,0
ENSG00000286913,0,2,2,3,3,2
ENSG00000243116,4,4,8,13,13,8
ENSG00000241211,0,0,0,2,2,0
ENSG00000252763,0,0,0,0,0,0
ENSG00000151967,28,45,25,22,22,36
ENSG00000242107,0,0,0,0,0,0
ENSG00000114861,20,122,10,22,22,20
ENSG00000175110,1834,2095,2186,1988,1988,1702
ENSG00000278234,0,0,0,0,0,0
ENSG00000243550,0,0,0,0,0,2
ENSG00000286501,0,0,0,0,0,0
ENSG00000144895,1662,1855,1884,1867,1867,1538
ENSG00000199075,1,0,4,0,0,0
ENSG00000136059,12,40,4,5,5,3
ENSG00000261167,16,35,41,12,12,22
ENSG00000114686,927,914,1059,968,968,871
ENSG00000249020,3,3,3,4,4,0
ENSG00000248468,3,9,5,5,5,2
ENSG00000248530,0,0,0,0,0,0
ENSG00000251447,0,0,0,0,0,0
ENSG00000265859,0,0,0,0,0,0
ENSG00000240854,2,2,6,3,3,9
ENSG00000242899,0,1,2,2,2,2
ENSG00000196353,0,0,2,0,0,0
ENSG00000243188,0,0,0,0,0,0
ENSG00000241634,89,76,83,77,77,69
ENSG00000202379,5,3,0,2,2,0
ENSG00000276763,31,19,10,7,7,8
ENSG00000145198,4,2,0,4,4,11
ENSG00000173421,0,0,0,0,0,0
ENSG00000144821,0,0,0,6,6,0
ENSG00000073111,24776,26280,23345,18547,18547,18514
ENSG00000114631,6859,7005,6063,5657,5657,5541
ENSG00000114626,2313,2477,2257,2147,2147,2141
ENSG00000287143,1,0,0,2,2,0
ENSG00000187715,0,0,0,0,0,0
ENSG00000201210,0,0,0,0,0,0
ENSG00000222627,0,0,0,2,2,0
ENSG00000239608,2,6,1,3,3,0
ENSG00000074416,4346,4109,4120,3712,3712,3715
ENSG00000180353,26,4257,28,28,28,134
ENSG00000243544,0,0,0,0,0,0
ENSG00000222057,0,0,0,0,0,0
ENSG00000173226,1448,1573,1764,1807,1807,1498
ENSG00000145088,97,82,99,74,74,62
ENSG00000163406,11,12,13,16,16,10
ENSG00000178732,0,2,0,0,0,0
ENSG00000065534,5053,5443,5060,3065,3065,3071
ENSG00000249993,0,2,0,0,0,0
ENSG00000214301,0,8,0,0,0,0
ENSG00000272832,0,0,0,0,0,0
ENSG00000250983,0,0,1,0,0,1
ENSG00000201827,0,0,0,0,0,0
ENSG00000091527,10714,12147,11152,8864,8864,8282
ENSG00000163781,4361,4195,3649,3556,3556,3173
ENSG00000229453,0,0,0,0,0,0
ENSG00000168779,51,49,38,26,26,55
ENSG00000187527,0,0,0,0,0,0
ENSG00000169855,2722,2729,1808,1768,1768,1757
ENSG00000163632,0,1,10,1,1,1
ENSG00000233412,0,0,0,0,0,0
ENSG00000197584,0,0,0,0,0,0
ENSG00000196220,175,184,170,99,99,70
ENSG00000144550,2,3,2,0,0,2
ENSG00000185219,1520,1647,1530,1584,1584,1377
ENSG00000114857,6981,9213,6806,6990,6990,6650
ENSG00000198843,1758,1890,1886,1790,1790,1600
ENSG00000155903,423,568,439,366,366,295
ENSG00000075651,337,295,252,264,264,218
ENSG00000183662,0,15,0,0,0,0
ENSG00000113811,1487,1918,1513,1615,1615,1435
ENSG00000114650,950,841,674,666,666,708
ENSG00000164054,1751,1536,1314,1211,1211,1220
ENSG00000154781,1227,1492,1220,1236,1236,1054
ENSG00000010318,113,140,99,108,108,83
ENSG00000178252,2281,2475,1957,1678,1678,1770
ENSG00000163931,23521,21948,20450,19872,19872,20075
ENSG00000248487,71,52,58,71,71,63
ENSG00000180767,208,178,217,136,136,120
ENSG00000163507,2985,3187,3280,3029,3029,2724
ENSG00000113851,1263,1611,1242,1182,1182,1035
ENSG00000242364,0,0,0,0,0,0
ENSG00000242741,0,0,0,2,2,0
ENSG00000278554,0,0,0,0,0,0
ENSG00000239454,0,0,0,0,0,0
ENSG00000223738,0,0,0,0,0,0
ENSG00000213452,0,0,0,0,0,0
ENSG00000113805,0,0,0,0,0,0
ENSG00000241022,0,0,0,0,0,0
ENSG00000242638,0,0,0,0,0,0
ENSG00000266780,0,0,0,0,0,0
ENSG00000287398,0,0,0,0,0,0
ENSG00000213300,147,151,204,157,157,160
ENSG00000228868,0,0,1,0,0,0
ENSG00000249253,0,0,0,0,0,0
ENSG00000197980,35,73,43,20,20,35
ENSG00000144843,53,52,49,41,41,51
ENSG00000174844,1,0,0,0,0,6
ENSG00000163882,449,413,400,448,448,400
ENSG00000182973,8,2261,1861,1873,1873,1646
ENSG00000173531,47,37,72,64,64,59
ENSG00000188958,4,4,2,0,0,2
ENSG00000144741,52,216,144,149,149,158
ENSG00000206760,0,0,0,0,0,0
ENSG00000202363,0,0,0,0,0,0
ENSG00000286781,0,0,0,0,0,0
ENSG00000285885,0,0,0,0,0,0
ENSG00000230757,0,2,0,0,0,0
ENSG00000168314,0,0,0,0,0,0
ENSG00000144893,2,6,2,6,6,8
ENSG00000181555,5725,6250,5103,4977,4977,4562
ENSG00000178084,0,0,0,0,0,0
ENSG00000233576,0,0,0,0,0,0
ENSG00000207351,0,0,0,0,0,0
ENSG00000238020,0,0,0,0,0,0
ENSG00000186038,0,0,0,0,0,0
ENSG00000205955,0,0,0,0,0,2
ENSG00000273181,0,0,0,0,0,0
ENSG00000272721,1,2,0,0,0,5
ENSG00000228205,27,22,15,23,23,21
ENSG00000161204,1308,1461,1271,1072,1072,1062
ENSG00000168137,6642,6872,6017,6126,6126,5894
ENSG00000234371,0,0,2,0,0,0
ENSG00000263932,0,0,0,0,0,0
ENSG00000233441,0,0,0,0,0,0
ENSG00000114770,777,790,701,632,632,547
ENSG00000223882,0,0,0,0,0,0
ENSG00000223529,0,1,2,1,1,0
ENSG00000186090,0,0,0,0,0,0
ENSG00000161202,2225,2280,1971,1992,1992,1768
ENSG00000161203,8672,9823,8813,8335,8335,7734
ENSG00000270141,0,0,2,0,0,0
ENSG00000277925,0,0,0,0,0,0
ENSG00000184378,179,203,164,125,125,110
ENSG00000269889,39,47,48,27,27,41
ENSG00000085274,407,447,425,473,473,430
ENSG00000269984,6,12,10,11,11,10
ENSG00000171757,7,13,17,9,9,7
ENSG00000270135,0,0,0,0,0,0
ENSG00000270096,0,0,0,0,0,0
ENSG00000114248,14,16,8,10,10,13
ENSG00000240128,0,0,0,0,0,0
ENSG00000187033,0,0,0,0,0,0
ENSG00000244039,0,0,0,0,0,0
ENSG00000239219,2,1,0,3,3,2
ENSG00000244193,0,0,0,0,0,0
ENSG00000008952,12618,14607,14889,14180,14180,11655
ENSG00000240373,0,2,4,2,2,0
ENSG00000173890,27,57,70,41,41,41
ENSG00000201342,0,0,0,0,0,0
ENSG00000242583,2,0,0,0,0,1
ENSG00000188306,2,0,0,0,0,0
ENSG00000164081,524,567,516,404,404,378
ENSG00000288063,4,6,7,2,2,4
ENSG00000201595,0,0,0,0,0,0
ENSG00000164082,2,10,0,0,0,2
ENSG00000214686,0,0,0,0,0,0
ENSG00000230732,10,19,18,13,13,11
ENSG00000114503,1425,1655,1589,1259,1259,1221
ENSG00000225578,7,4,6,6,6,5
ENSG00000270170,133,196,144,109,109,119
ENSG00000119227,28,24,30,25,25,10
ENSG00000286017,7,5,1,7,7,2
ENSG00000233487,0,0,0,0,0,0
ENSG00000163602,0,746,590,487,487,494
ENSG00000196428,603,698,605,525,525,522
ENSG00000206384,0,0,2,2,2,2
ENSG00000273328,0,0,0,0,0,0
ENSG00000273291,0,0,0,0,0,0
ENSG00000182983,0,9,0,0,0,0
ENSG00000206552,0,0,0,0,0,0
ENSG00000232375,0,0,0,0,0,0
ENSG00000227245,0,0,0,0,0,0
ENSG00000285766,0,0,0,0,0,0
ENSG00000163788,335,704,322,295,295,271
ENSG00000241939,0,2,1,0,0,0
ENSG00000234617,11,21,6,3,3,14
ENSG00000251811,0,0,0,0,0,0
ENSG00000223916,0,0,0,0,0,0
ENSG00000144649,2,5,0,0,0,0
ENSG00000196639,175,221,244,240,240,209
ENSG00000285906,47,65,53,51,51,43
ENSG00000213964,1,0,0,0,0,0
ENSG00000197548,394,436,350,310,310,310
ENSG00000226621,0,0,0,0,0,0
ENSG00000235240,0,0,0,0,0,0
ENSG00000270531,0,0,0,0,0,0
ENSG00000144560,773,759,558,693,693,691
ENSG00000271716,0,0,0,0,0,0
ENSG00000272483,0,0,0,1,1,0
ENSG00000228791,7,2,4,4,4,0
ENSG00000265028,0,0,0,0,0,0
ENSG00000233544,0,2,2,0,0,0
ENSG00000244404,0,0,0,0,0,0
ENSG00000201713,0,0,0,0,0,0
ENSG00000213877,0,0,0,0,0,0
ENSG00000201962,0,0,0,0,0,0
ENSG00000229421,0,0,0,0,0,0
ENSG00000077092,0,4,6,0,0,0
ENSG00000249474,0,0,0,0,0,0
ENSG00000287682,0,0,0,0,0,0
ENSG00000214407,0,0,0,0,0,0
ENSG00000202177,0,0,0,0,0,0
ENSG00000241280,0,0,0,0,0,0
ENSG00000174173,1290,1447,1480,1212,1212,1001
ENSG00000133657,405,412,388,280,280,270
ENSG00000244675,0,0,1,0,0,0
ENSG00000244730,2,0,2,2,2,0
ENSG00000187492,2,7,13,11,11,5
ENSG00000185614,21,18,22,17,17,24
ENSG00000182179,140,492,122,93,93,83
ENSG00000283726,0,0,0,0,0,0
ENSG00000183763,609,657,521,513,513,489
ENSG00000164076,2,0,0,2,2,0
ENSG00000264706,0,0,0,0,0,0
ENSG00000234667,0,2,0,0,0,0
ENSG00000164078,607,536,514,569,569,525
ENSG00000230698,0,0,0,2,2,0
ENSG00000228008,88,107,70,82,82,69
ENSG00000164077,283,243,270,288,288,255
ENSG00000004534,6806,7789,6626,7339,7339,6310
ENSG00000003756,3169,4266,3332,3291,3291,3021
ENSG00000281691,8,11,6,1,1,7
ENSG00000235016,21,43,25,23,23,26
ENSG00000207922,1,0,0,0,0,0
ENSG00000114013,0,0,0,0,0,4
ENSG00000287977,0,0,0,0,0,0
ENSG00000036828,0,0,0,0,0,0
ENSG00000240236,2,0,2,2,2,1
ENSG00000121552,0,0,0,0,0,0
ENSG00000160124,802,738,812,776,776,735
ENSG00000114023,1051,1025,1165,970,970,910
ENSG00000196981,240,240,237,246,246,213
ENSG00000242531,10,1,0,3,3,1
ENSG00000114030,3933,4378,3815,3159,3159,2932
ENSG00000275348,0,0,0,0,0,0
ENSG00000287207,2,2,4,2,2,0
ENSG00000138496,763,847,733,730,730,653
ENSG00000163840,791,760,767,772,772,745
ENSG00000173200,0,106,2,0,0,2
ENSG00000243918,0,0,2,0,0,0
ENSG00000125037,919,1056,957,801,801,741
ENSG00000144867,890,920,900,839,839,838
ENSG00000244153,0,8,5,4,4,1
ENSG00000239445,2,0,0,0,0,2
ENSG00000249274,0,0,0,0,0,0
ENSG00000057019,257,255,253,244,244,237
ENSG00000206712,1,0,0,2,2,2
ENSG00000207331,2,0,0,3,3,0
ENSG00000064225,0,0,0,0,0,1
ENSG00000163820,1693,2424,1529,1696,1696,1710
ENSG00000244119,135,148,143,128,128,121
ENSG00000224237,0,2,0,0,0,0
ENSG00000207251,0,0,0,0,0,0
ENSG00000287348,0,0,0,0,0,0
ENSG00000227523,0,0,0,0,0,0
ENSG00000230807,0,0,0,0,0,1
ENSG00000201033,0,0,0,0,0,0
ENSG00000158234,1586,1759,1866,1495,1495,1254
ENSG00000151276,1373,1795,1521,1100,1100,1040
ENSG00000144559,67,151,128,152,152,126
ENSG00000065371,0,0,0,0,0,0
ENSG00000033867,288,418,315,295,295,328
ENSG00000163689,111,115,112,126,126,107
ENSG00000114656,12,12,13,9,9,27
ENSG00000163673,0,0,0,0,0,0
ENSG00000160791,0,76,2,2,2,4
ENSG00000170364,118,164,148,112,112,108
ENSG00000121570,0,2,0,0,0,0
ENSG00000145022,122,93,128,110,110,94
ENSG00000070087,2469,2537,2627,2221,2221,2038
ENSG00000179407,0,3,0,2,2,1
ENSG00000171121,124,113,150,117,117,124
ENSG00000288787,16,16,11,12,12,0
